reply,group
@tobesocharly goodnightt,Positive
"@tobesocharly goodnight, sleep well and see you in a few hours&lt;3",Positive
@sweetdayIight cries yes i will &lt;33,Positive
@sweetdayIight i love you too sleep well mwahh,Positive
@tobesocharly if u need to talk about it text me &lt;3,Neutral
@tobesocharly goodnight i love you,Positive
@ChomperKat Sure. Just tell me what I can do 😌,Positive
@ChomperKat Sure! :),Positive
@WorkerUnityNow You are so welcome! Literally!  :),Positive
@myfiVeApp Thank you ❤️,Positive
"@WorkerUnityNow You're not alone! We don't want you to feel that way. We made an app that allows you to find the top 5 people most like you wherever you go and we'd love for you to join our community!

DM with any Q's!

IOS:  https://t.co/DM2bXJh0DV

Android: https://t.co/86MylpD88F",Positive
@MzFireworks 😮‍💨🙌🏼☺️😂,Positive
@tarayoung_26 Ayeeeeee😂😭 https://t.co/yipssbeXNF,Neutral
@MzFireworks Just charged mines🗣🎉😂😂😂,Neutral
"I've got to raise this money by noon. Hopefully moving this week, but need help to do so. Please Share my plea for help. 

@FernandAubry @CarolynUrban2 @PaulSorrentino3 @ripkin @ASnactivist @s4dsqu1dman @comradebirb @GotBeachGlass @Comrade_Aoife @TheComradeFist",Positive
@Meeracle_eth You sef collect 🎤🎙🎤🎙🔊🔊🔊📢📢,Positive
@KaweecheIchen real creative,Positive
@panicatheworId thank u aang ur so real🫶,Positive
@KIEUMYSALEX that's so real but I'll be rooting for you my prayers WILL change the universe in case it's needed amen,Positive
@Crissieamg Please see DM. Thanks!,Positive
@sarkissmith 🫠,Positive
@WTr8sh Anything for you zaddy 😫,Positive
@Chandler_Cahill Thanks daddy 🖤🖤🖤,Neutral
@WTr8sh God you’re so hot,Positive
@Cuz_I_Was_High Bet,Positive
@FranoisLaporte Thanks man,Positive
@Cuz_I_Was_High Text liljah58 on IG they’re reliable,Positive
@Cuz_I_Was_High Am in ma room weeding and feeling like the most high,Positive
@Cuz_I_Was_High https://t.co/IOVnyMMz05,Neutral
@Cuz_I_Was_High Dm directly or Snapchat:@brettalvine,Positive
@Cuz_I_Was_High https://t.co/qDR69aLvgl,Neutral
"@colinhwray How can we address gun violence in America? Would Jesus approve of the National Rifle Association? Link below 👇

#GunControlNow #GunViolencePrevention #ProtectingOurKidsAct #BanAssaultWeaponsNow #MarchForOurLivesJune11 #EndGunViolence #MarchForOurLives

https://t.co/u5Ed7xs9q8",Neutral
@Carmel311710 ❤️,Positive
@daveyb0072 Thanks Dave,Positive
"@Carmel311710 Take csre Carmel, I hope life calms down for you soon, get some sleep,I'm hoping you feel better quickly!",Positive
"@Carmel311710 Thanks, you too.",Positive
@donnahot4Gaz Hope you feel better soon Donna,Positive
"@daveyb0072 Not too often thankfully, just had a few stressful things here to deal with so I wasn’t sleeping which had me tired and brought on the headaches. Few good nights and I’ll be fine , thanks Dave 🤗",Positive
@Carmel311710 Sorry to hear Carmel do you get them often?,Positive
@Carmel311710 I’ve had one too. Think it’s partly sinus issues from allergies…,Positive
@Carmel311710 You too,Positive
"@JeffFarkas10 Thanks Jeff , I won’t be on here much today either until this headache packs it’s bags lol , have a great day 🤗",Positive
"@ChelBowPhill @notonthehighst @suzieleeknits Hello Chel, thank you for getting in touch. I am sorry to hear that you have yet to receive your order. Please send us a direct message or email us at info@notonthehighstreet.com stating your order number and we can look into this further for you. Best wishes, Fiona",Positive
@AnikaTHoque @TheMindsJournal But SRK is not her romantic partner. He is gauri khan's.,Negative
@TheMindsJournal @iFarinablog_30,Positive
@TheMindsJournal Is this how you feel about Shahrukh Khan?,Positive
